Cell ID,Timestep,Neighbor count of cell,Sum of neighbor counts of cell's neighbors
1,1,3,18
2,1,4,27
3,1,5,35
4,1,2,20
5,1,0,14
6,1,0,18
7,1,3,21
8,1,3,20
9,1,4,25
10,1,5,22
11,1,3,18
12,1,5,35
13,1,2,18
14,1,2,28
15,1,6,26
16,1,2,17
17,1,6,26
18,1,1,13
19,1,0,14
20,1,5,29
21,1,2,20
22,1,2,21
23,1,3,9
24,1,1,10
1,2,4,33
2,2,3,24
3,2,1,17
4,2,4,24
5,2,2,9
6,2,3,18
7,2,3,21
8,2,5,34
9,2,3,21
10,2,6,27
11,2,4,31
12,2,2,17
13,2,5,27
14,2,1,15
15,2,3,24
16,2,4,25
17,2,2,22
18,2,1,24
19,2,2,7
20,2,4,21
21,2,0,17
22,2,3,22
23,2,0,11
24,2,0,9
1,3,2,23
2,3,6,36
3,3,5,27
4,3,7,35
5,3,1,6
6,3,0,16
7,3,4,33
8,3,1,16
9,3,4,30
10,3,5,22
11,3,2,14
12,3,3,30
13,3,2,13
14,3,1,7
15,3,1,26
16,3,4,23
17,3,3,15
18,3,0,14
19,3,1,6
20,3,6,35
21,3,2,15
22,3,3,24
23,3,0,5
24,3,1,12
1,4,3,28
2,4,1,9
3,4,2,20
4,4,0,2
5,4,0,4
6,4,2,15
7,4,2,21
8,4,4,24
9,4,5,25
10,4,5,19
11,4,3,20
12,4,2,25
13,4,2,16
14,4,0,8
15,4,4,26
16,4,5,28
17,4,3,26
18,4,2,23
19,4,0,3
20,4,1,8
21,4,2,15
22,4,5,32
23,4,0,4
24,4,3,13
1,5,2,22
2,5,2,13
3,5,2,22
4,5,0,1
5,5,0,3
6,5,2,11
7,5,3,24
8,5,1,12
9,5,5,28
10,5,4,21
11,5,1,15
12,5,2,18
13,5,2,12
14,5,0,6
15,5,4,20
16,5,5,26
17,5,2,23
18,5,4,24
19,5,0,1
20,5,0,5
21,5,1,6
22,5,3,14
23,5,0,4
24,5,3,22
1,6,1,21
2,6,3,16
3,6,4,26
4,6,0,3
5,6,0,2
6,6,1,9
7,6,4,31
8,6,2,12
9,6,3,17
10,6,5,21
11,6,2,11
12,6,3,23
13,6,3,11
14,6,0,0
15,6,4,20
16,6,3,14
17,6,4,29
18,6,4,24
19,6,0,0
20,6,0,5
21,6,0,5
22,6,2,21
23,6,0,2
24,6,3,25
1,7,3,19
2,7,1,23
3,7,2,12
4,7,0,0
5,7,0,0
6,7,0,1
7,7,3,21
8,7,3,12
9,7,4,26
10,7,4,14
11,7,1,6
12,7,2,21
13,7,2,29
14,7,0,0
15,7,5,23
16,7,3,27
17,7,2,18
18,7,3,15
19,7,0,0
20,7,0,0
21,7,0,7
22,7,2,24
23,7,0,0
24,7,6,32
1,8,5,30
2,8,4,22
3,8,2,14
4,8,0,0
5,8,0,0
6,8,0,0
7,8,3,26
8,8,4,25
9,8,4,25
10,8,3,24
11,8,0,6
12,8,2,26
13,8,1,21
14,8,0,0
15,8,8,35
16,8,6,39
17,8,5,34
18,8,3,24
19,8,0,0
20,8,0,0
21,8,0,5
22,8,5,37
23,8,0,0
24,8,3,21
1,9,4,13
2,9,4,25
3,9,1,13
4,9,0,0
5,9,0,2
6,9,0,0
7,9,5,36
8,9,2,10
9,9,4,32
10,9,1,17
11,9,0,8
12,9,1,28
13,9,6,18
14,9,0,0
15,9,3,19
16,9,1,12
17,9,2,7
18,9,1,21
19,9,0,0
20,9,0,0
21,9,0,1
22,9,1,15
23,9,0,3
24,9,2,26
1,10,2,16
2,10,5,25
3,10,2,10
4,10,0,0
5,10,0,0
6,10,0,0
7,10,2,13
8,10,3,8
9,10,5,26
10,10,2,9
11,10,1,16
12,10,0,15
13,10,5,28
14,10,0,0
15,10,4,32
16,10,2,14
17,10,1,15
18,10,2,17
19,10,0,0
20,10,0,3
21,10,0,6
22,10,2,16
23,10,0,0
24,10,7,38
1,11,2,15
2,11,4,24
3,11,2,16
4,11,0,0
5,11,0,0
6,11,0,1
7,11,2,16
8,11,1,15
9,11,1,15
10,11,1,8
11,11,1,14
12,11,1,17
13,11,4,22
14,11,0,0
15,11,1,10
16,11,2,17
17,11,2,16
18,11,2,17
19,11,0,0
20,11,0,3
21,11,0,7
22,11,4,23
23,11,0,3
24,11,1,12
1,12,2,17
2,12,5,29
3,12,2,14
4,12,0,0
5,12,0,2
6,12,0,3
7,12,3,24
8,12,3,13
9,12,2,16
10,12,0,8
11,12,4,24
12,12,3,26
13,12,2,14
14,12,0,0
15,12,1,8
16,12,5,18
17,12,3,10
18,12,4,23
19,12,0,9
20,12,0,1
21,12,0,6
22,12,2,21
23,12,0,0
24,12,1,8
1,13,2,16
2,13,5,35
3,13,2,14
4,13,0,0
5,13,0,0
6,13,0,2
7,13,4,33
8,13,2,13
9,13,2,13
10,13,1,9
11,13,2,14
12,13,4,34
13,13,1,11
14,13,0,0
15,13,0,6
16,13,6,27
17,13,1,17
18,13,2,10
19,13,3,15
20,13,0,2
21,13,1,5
22,13,5,32
23,13,0,0
24,13,1,13
1,14,2,14
2,14,2,11
3,14,2,17
4,14,0,0
5,14,0,0
6,14,0,1
7,14,2,10
8,14,2,14
9,14,3,18
10,14,0,4
11,14,3,15
12,14,0,7
13,14,1,13
14,14,0,0
15,14,0,8
16,14,3,16
17,14,2,11
18,14,2,13
19,14,1,11
20,14,0,4
21,14,0,1
22,14,2,14
23,14,0,0
24,14,3,20
1,15,2,14
2,15,1,13
3,15,2,20
4,15,0,0
5,15,0,0
6,15,0,3
7,15,0,18
8,15,3,20
9,15,2,21
10,15,0,4
11,15,2,22
12,15,0,5
13,15,2,13
14,15,0,0
15,15,2,10
16,15,3,24
17,15,3,15
18,15,2,13
19,15,1,3
20,15,0,6
21,15,0,3
22,15,4,24
23,15,0,0
24,15,3,26
1,16,2,16
2,16,2,14
3,16,4,26
4,16,0,0
5,16,0,2
6,16,0,7
7,16,2,18
8,16,1,14
9,16,3,24
10,16,0,7
11,16,3,24
12,16,0,8
13,16,2,14
14,16,0,0
15,16,3,14
16,16,3,22
17,16,2,17
18,16,3,23
19,16,0,6
20,16,0,6
21,16,0,3
22,16,2,14
23,16,0,0
24,16,3,31
1,17,3,23
2,17,2,18
3,17,3,21
4,17,0,0
