Cell ID,Timestep,Neighbor count of cell,Sum of neighbor counts of cell’s neighbors
1,1,1,53
2,1,3,65
3,1,4,77
4,1,3,56
5,1,5,70
6,1,4,89
7,1,3,60
8,1,1,65
9,1,2,50
10,1,4,69
11,1,2,53
12,1,0,40
13,1,4,79
14,1,3,65
15,1,1,49
16,1,1,49
17,1,1,58
18,1,3,59
19,1,4,99
20,1,5,75
21,1,5,82
22,1,5,75
23,1,2,45
24,1,4,85
1,2,2,61
2,2,3,90
3,2,5,110
4,2,5,88
5,2,6,87
6,2,3,72
7,2,3,86
8,2,0,33
9,2,1,64
10,2,5,77
11,2,3,63
12,2,1,51
13,2,2,49
14,2,3,61
15,2,1,42
16,2,1,81
17,2,2,72
18,2,5,95
19,2,2,61
20,2,3,57
21,2,1,43
22,2,6,107
23,2,3,64
24,2,3,85
1,3,3,76
2,3,1,64
3,3,1,33
4,3,1,31
5,3,4,52
6,3,4,72
7,3,1,41
8,3,0,32
9,3,3,52
10,3,6,77
11,3,3,96
12,3,1,39
13,3,1,29
14,3,5,88
15,3,1,48
16,3,2,40
17,3,3,85
18,3,0,26
19,3,2,42
20,3,4,81
21,3,2,61
22,3,3,55
23,3,3,73
24,3,1,36
1,4,4,79
2,4,2,61
3,4,0,14
4,4,0,21
5,4,2,48
6,4,3,51
7,4,1,36
8,4,0,41
9,4,5,87
10,4,3,62
11,4,1,40
12,4,1,42
13,4,1,31
14,4,1,54
15,4,3,65
16,4,0,30
17,4,3,82
18,4,1,19
19,4,3,54
20,4,3,67
21,4,2,43
22,4,1,35
23,4,3,66
24,4,3,48
1,5,1,38
2,5,2,69
3,5,0,8
4,5,1,41
5,5,1,32
6,5,5,99
7,5,1,37
8,5,1,32
9,5,0,51
10,5,4,88
11,5,4,60
12,5,2,31
13,5,1,36
14,5,2,79
15,5,3,68
16,5,0,14
17,5,3,96
18,5,0,11
19,5,4,76
20,5,4,80
21,5,2,52
22,5,2,43
23,5,5,83
24,5,2,46
1,6,0,24
2,6,3,53
3,6,0,7
4,6,2,28
5,6,0,25
6,6,1,34
7,6,3,63
8,6,0,27
9,6,1,56
10,6,1,50
11,6,4,55
12,6,2,38
13,6,0,43
14,6,2,46
15,6,1,73
16,6,0,15
17,6,3,63
18,6,0,14
19,6,2,50
20,6,2,65
21,6,2,33
22,6,1,58
23,6,3,72
24,6,1,27
1,7,0,17
2,7,2,44
3,7,0,9
4,7,3,39
5,7,0,38
6,7,1,46
7,7,2,48
8,7,0,27
9,7,2,44
10,7,2,38
11,7,1,59
12,7,2,30
13,7,2,40
14,7,2,41
15,7,0,51
16,7,0,15
17,7,4,73
18,7,0,1
19,7,4,67
20,7,2,66
21,7,1,26
22,7,2,51
23,7,3,54
24,7,0,15
1,8,0,17
2,8,2,39
3,8,0,8
