Cell ID,Timestep,Neighbor count of cell,Sum of neighbor counts of cell’s neighbors
1,1,4,139
2,1,2,124
3,1,2,112
4,1,1,150
5,1,5,125
6,1,5,154
7,1,0,91
8,1,2,158
9,1,2,101
10,1,2,145
11,1,1,149
12,1,3,137
13,1,3,124
14,1,1,94
15,1,4,156
16,1,3,138
17,1,3,102
18,1,4,203
19,1,4,149
20,1,3,128
21,1,5,146
22,1,3,158
23,1,5,134
24,1,0,73
1,2,3,133
2,2,2,180
3,2,3,165
4,2,1,164
5,2,4,129
6,2,3,150
7,2,1,90
8,2,4,184
9,2,5,142
10,2,2,161
11,2,2,142
12,2,8,176
13,2,4,172
14,2,0,95
15,2,1,131
16,2,7,181
17,2,1,100
18,2,2,91
19,2,0,139
20,2,1,146
21,2,1,110
22,2,5,175
23,2,1,105
24,2,0,79
1,3,4,142
2,3,4,131
3,3,4,151
4,3,1,150
5,3,4,147
6,3,2,120
7,3,0,100
8,3,1,88
9,3,2,72
10,3,4,130
11,3,3,163
12,3,0,112
13,3,1,101
14,3,0,82
15,3,2,105
16,3,0,109
17,3,2,99
18,3,0,109
19,3,1,123
20,3,4,120
21,3,0,133
22,3,1,126
23,3,3,143
24,3,0,89
1,4,4,121
2,4,5,115
3,4,2,83
4,4,3,131
5,4,3,115
6,4,3,128
7,4,1,94
8,4,1,73
9,4,1,57
10,4,3,94
11,4,4,131
12,4,1,117
13,4,0,114
14,4,1,100
15,4,4,153
16,4,0,107
17,4,3,134
18,4,2,105
19,4,2,162
20,4,3,145
21,4,1,104
22,4,2,124
23,4,2,131
24,4,0,83
1,5,4,138
2,5,4,84
3,5,2,123
4,5,4,156
5,5,5,144
6,5,3,148
7,5,3,105
8,5,0,78
9,5,1,80
10,5,4,115
11,5,4,52
12,5,1,118
13,5,4,144
14,5,0,114
15,5,4,171
16,5,0,125
17,5,5,174
18,5,4,161
19,5,3,186
20,5,2,176
21,5,1,82
22,5,3,75
23,5,5,147
24,5,0,91
1,6,1,130
2,6,4,71
3,6,5,117
4,6,1,120
5,6,1,120
6,6,2,80
7,6,2,118
8,6,0,81
9,6,2,81
10,6,1,84
11,6,3,61
12,6,0,88
13,6,3,78
14,6,0,129
