Combination,Highest Level of Toleration,Mean,Std Dev
0,N/A,N/A,N/A
1,N/A,N/A,N/A
2,N/A,N/A,N/A
3,N/A,N/A,N/A
4,N/A,N/A,N/A
5,N/A,N/A,N/A
6,N/A,N/A,N/A
8,N/A,N/A,N/A
9,N/A,N/A,N/A
10,N/A,N/A,N/A
12,N/A,N/A,N/A
13,N/A,N/A,N/A
14,N/A,N/A,N/A
16,N/A,N/A,N/A
17,N/A,N/A,N/A
18,N/A,N/A,N/A
20,N/A,N/A,N/A
21,N/A,N/A,N/A
24,N/A,N/A,N/A
28,N/A,N/A,N/A
31,N/A,N/A,N/A
32,N/A,N/A,N/A
33,N/A,N/A,N/A
34,N/A,N/A,N/A
35,N/A,N/A,N/A
36,N/A,N/A,N/A
37,N/A,N/A,N/A
40,N/A,N/A,N/A
41,N/A,N/A,N/A
42,N/A,N/A,N/A
44,N/A,N/A,N/A
45,N/A,N/A,N/A
47,N/A,N/A,N/A
48,N/A,N/A,N/A
49,N/A,N/A,N/A
55,N/A,N/A,N/A
59,N/A,N/A,N/A
61,N/A,N/A,N/A
62,N/A,N/A,N/A
64,N/A,N/A,N/A
65,N/A,N/A,N/A
66,N/A,N/A,N/A
67,N/A,N/A,N/A
68,N/A,N/A,N/A
69,N/A,N/A,N/A
70,N/A,N/A,N/A
71,N/A,N/A,N/A
72,N/A,N/A,N/A
74,N/A,N/A,N/A
76,N/A,N/A,N/A
77,N/A,N/A,N/A
78,N/A,N/A,N/A
80,N/A,N/A,N/A
81,N/A,N/A,N/A
82,N/A,N/A,N/A
84,N/A,N/A,N/A
86,N/A,N/A,N/A
91,N/A,N/A,N/A
92,N/A,N/A,N/A
96,N/A,N/A,N/A
97,N/A,N/A,N/A
98,N/A,N/A,N/A
99,N/A,N/A,N/A
100,N/A,N/A,N/A
101,N/A,N/A,N/A
104,N/A,N/A,N/A
106,N/A,N/A,N/A
108,N/A,N/A,N/A
109,N/A,N/A,N/A
112,N/A,N/A,N/A
116,N/A,N/A,N/A
117,N/A,N/A,N/A
119,N/A,N/A,N/A
123,N/A,N/A,N/A
124,N/A,N/A,N/A
125,N/A,N/A,N/A
126,N/A,N/A,N/A
127,N/A,N/A,N/A
128,N/A,N/A,N/A
129,N/A,N/A,N/A
130,N/A,N/A,N/A
131,N/A,N/A,N/A
132,N/A,N/A,N/A
133,N/A,N/A,N/A
134,N/A,N/A,N/A
136,N/A,N/A,N/A
137,N/A,N/A,N/A
138,N/A,N/A,N/A
140,N/A,N/A,N/A
141,N/A,N/A,N/A
142,N/A,N/A,N/A
144,N/A,N/A,N/A
145,N/A,N/A,N/A
148,N/A,N/A,N/A
155,N/A,N/A,N/A
159,N/A,N/A,N/A
160,N/A,N/A,N/A
161,N/A,N/A,N/A
162,N/A,N/A,N/A
163,N/A,N/A,N/A
164,N/A,N/A,N/A
165,N/A,N/A,N/A
168,N/A,N/A,N/A
169,N/A,N/A,N/A
172,N/A,N/A,N/A
173,N/A,N/A,N/A
182,N/A,N/A,N/A
183,N/A,N/A,N/A
192,N/A,N/A,N/A
193,N/A,N/A,N/A
194,N/A,N/A,N/A
195,N/A,N/A,N/A
196,N/A,N/A,N/A
197,N/A,N/A,N/A
198,N/A,N/A,N/A
199,N/A,N/A,N/A
203,N/A,N/A,N/A
211,N/A,N/A,N/A
212,N/A,N/A,N/A
213,N/A,N/A,N/A
214,N/A,N/A,N/A
215,N/A,N/A,N/A
217,N/A,N/A,N/A
218,N/A,N/A,N/A
221,N/A,N/A,N/A
222,N/A,N/A,N/A
223,N/A,N/A,N/A
224,N/A,N/A,N/A
225,N/A,N/A,N/A
226,N/A,N/A,N/A
227,N/A,N/A,N/A
228,N/A,N/A,N/A
231,N/A,N/A,N/A
237,N/A,N/A,N/A
246,N/A,N/A,N/A
248,N/A,N/A,N/A
249,N/A,N/A,N/A
252,N/A,N/A,N/A
254,N/A,N/A,N/A
256,N/A,N/A,N/A
257,N/A,N/A,N/A
258,N/A,N/A,N/A
259,N/A,N/A,N/A
