Combination,Mean,Std Dev,CV
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,6.05,17.436957876877493,2.8821417501922837
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.7,3.051229260478472,4.358898320840915
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,1.45,6.320403468133977,4.358898642926974
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,9.8,21.82338195605805,2.2268756870786204
24,0.0,0.0,0.0
25,2.45,10.679302411674652,4.358898765626439
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,1.4,6.102458520956944,4.358898632190772
30,0.9,3.9230090491866068,4.358898459218623
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,4.95,12.022790857367518,2.428846588784416
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,1.1,4.79478883789474,4.3588985472771675
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,1.2,5.230678732248809,4.358898580299126
58,1.5,5.68770604022395,3.7918037740290482
59,1.5,6.5383484153110105,4.35889865294743
60,4.65,14.118339137448144,3.0362018997479465
61,1.65,7.192183256842113,4.358898679364997
62,0.0,0.0,0.0
63,0.55,2.39739441894737,4.358898151013736
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.2,0.8717797887081346,4.35889676409229
74,0.0,0.0,0.0
75,9.85,23.55902162654468,2.391778821052467
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,1.5,6.5383484153110105,4.35889865294743
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,6.05,21.855148134936083,3.6124211196188383
86,0.4,1.7435595774162693,4.3588978538162095
87,2.55,7.729650703621736,3.0312354511757618
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,5.85,14.164303724504073,2.421248458526364
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,2.15,9.371632728612449,4.358898740801198
94,5.85,13.417432690347285,2.2935781984597376
95,1.55,6.756293362488044,4.358898662321405
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.5,2.179449471770337,4.35889807176106
103,3.7,16.12792609110049,4.358898825732597
104,0.0,0.0,0.0
105,8.6,23.4444023169711,2.7260932609722994
106,2.65,11.551082200382785,4.358898779053928
107,3.8,11.289818421923357,2.9710047696902318
108,0.0,0.0,0.0
109,0.4,1.743559577416269,4.358897853816209
110,2.45,9.200407599666441,3.7552682547508636
111,10.8,25.476655981505893,2.358949606075086
112,0.0,0.0,0.0
113,1.05,3.185514087239295,3.033822651292409
114,7.35,18.089430615693797,2.461146989058381
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,2.95,9.019284894047866,3.057384606206578
119,2.9,12.640806936267953,4.358898793233819
120,4.5,14.207392441964851,3.1571982502766724
121,2.85,12.422861989090919,4.358898790596856
122,7.0,16.20493751916372,2.3149910410949452
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.3,1.3076696830622023,4.3588974905748445
126,0.0,0.0,0.0
127,6.7,20.10994778710278,3.001484699545419
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,10.05,24.78805155715148,2.4664727672143485
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,3.0,7.409453421137082,2.4698177247184367
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,1.9,5.708765190476835,3.004613100008171
147,5.65,13.513974248902505,2.3918538070295794
148,0.0,0.0,0.0
149,7.05,19.466573915304153,2.7612161190329845
150,0.95,4.140953996363639,4.358898484709254
151,6.85,19.280235994406294,2.814632950794598
152,1.05,4.576843890717707,4.3588985284074795
153,5.25,18.140769002443086,3.455384506077073
154,1.75,5.4394393093406235,3.108250856294593
155,0.0,0.0,0.0
156,15.05,31.851962262943868,2.116409438624779
157,3.05,13.294641777799054,4.358898800625959
158,1.9,8.281907992727279,4.358898714124951
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,5.1,15.842663917409851,3.1064046287783116
164,0.55,2.39739441894737,4.358898151013736
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.55,2.39739441894737,4.358898151013736
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
