Combination,Mean,Std Dev,CV
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.4,1.743559577416269,4.358897853816209
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1.1,4.794788837894741,4.358898547277168
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,1.4,6.102458520956944,4.358898632190772
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,1.5,6.5383484153110105,4.35889865294743
45,0.0,0.0,0.0
46,1.35,5.884513573779909,4.358898620659294
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,2.2,9.58957767578948,4.358898745408911
58,1.35,5.884513573779908,4.358898620659293
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.2,0.8717797887081346,4.35889676409229
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,1.65,7.192183256842113,4.358898679364997
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,3.2,11.67304587500623,3.6478267219448615
88,0.0,0.0,0.0
89,0.85,2.669737814842499,3.1408676479479225
90,4.05,17.65354072133973,4.358898835913543
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,3.05,13.294641777799054,4.358898800625959
94,2.1,9.153687781435416,4.358898735974067
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,1.15,5.012733785071775,4.358898564506016
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,2.25,7.056025793603649,3.1360113244455627
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,4.9,14.972975656161339,3.0557092552225327
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,3.5,15.256146302392358,4.358898819000707
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,1.45,6.320403468133977,4.358898642926974
125,4.45,19.397100298755994,4.358898845587889
126,0.0,0.0,0.0
127,1.75,6.766646141183976,3.866654716867717
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,1.55,6.756293362488044,4.358898662321405
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,2.9,12.640806936267953,4.358898793233819
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.4,1.7435595774162693,4.3588978538162095
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,4.3,12.961867149450343,3.0143876390724604
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,4.7,20.486825034641168,4.358898850798145
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.5,2.179449471770337,4.35889807176106
179,0.0,0.0,0.0
180,0.55,2.39739441894737,4.358898151013736
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,1.7,7.410128204019145,4.358898687134868
184,1.4,6.102458520956944,4.358898632190772
185,1.55,6.756293362488044,4.358898662321405
186,0.7,3.051229260478472,4.358898320840915
187,0.9,3.9230090491866068,4.358898459218623
