Combination,Noise Level,Mean,Std Dev,CV
0,0.99,0.0,0.0,0.0
1,0.99,0.0,0.0,0.0
2,0.99,0.0,0.0,0.0
3,0.99,0.0,0.0,0.0
4,0.99,0.0,0.0,0.0
5,0.99,0.0,0.0,0.0
6,0.99,3.45,11.73658809024156,3.4019094927682927
7,0.99,2.45,10.679302411674652,4.358898765626439
8,0.99,0.0,0.0,0.0
9,0.99,0.6,2.6153393661244047,4.3588982170576385
10,0.99,0.9,3.7,4.111110654321039
11,0.99,3.2,13.948476619330153,4.358898807325085
12,0.99,0.0,0.0,0.0
13,0.99,0.0,0.0,0.0
14,0.99,7.4,26.541288589667232,3.5866605717569153
15,0.99,0.2,0.8717797887081346,4.35889676409229
16,0.99,0.0,0.0,0.0
17,0.99,0.0,0.0,0.0
18,0.99,9.55,41.62748491081342,4.358898897897752
19,0.99,14.25,39.17891652406942,2.749397631517871
20,0.99,11.25,24.262883175748097,2.1567007075624915
21,0.99,0.0,0.0,0.0
22,0.99,1.75,7.628073151196179,4.358898694460748
23,0.99,0.0,0.0,0.0
24,0.99,4.5,13.680277774957641,3.040061660211439
25,0.99,0.0,0.0,0.0
26,0.99,6.1,18.76406139405859,3.076075587942792
27,0.99,2.5,10.897247358851684,4.358898769184723
28,0.99,4.0,17.435595774162696,4.358898834568203
29,0.99,6.4,19.458674158328463,3.0404177897322944
30,0.99,6.4,15.535121499363951,2.427362696348075
31,0.99,4.45,12.142796218334553,2.7287181899916253
32,0.99,0.0,0.0,0.0
33,0.99,0.0,0.0,0.0
34,0.99,4.2,18.30737556287083,4.358898839757368
35,0.99,5.1,22.230384612057435,4.3588988580720684
36,0.99,3.0,11.184811129384348,3.7282702521857747
37,0.99,7.5,24.41823089414956,3.2557640758097532
38,0.99,1.9,8.28190799272728,4.358898714124952
39,0.99,1.15,5.012733785071775,4.358898564506016
40,0.99,0.5,2.179449471770337,4.35889807176106
41,0.99,0.0,0.0,0.0
42,0.99,9.95,30.761136194880706,3.0915714458013634
43,0.99,7.8,22.63757937589618,2.9022537289321546
44,0.99,5.05,18.131395423408534,3.590375260271487
45,0.99,12.3,25.103983747604683,2.040974271829858
46,0.99,0.0,0.0,0.0
47,0.99,2.85,8.551461863330736,3.000512829220861
